
                                                           CODEBOOK


                                                      Election Study 2001

                                                           CONTENTS

****    General

              Missing-data code: 0
              Record/columns: 1/127-128

      b37                Former-Soviet-Union-born, immigrated after 1988

              VALUE  LABEL
                  1  Yes
                  2  No

              Data type: numeric
              Record/column: 1/129

      b38                Total years of schooling

              Data type: numeric
              Record/columns: 1/130-131

      b40                Academic degree

              VALUE  LABEL
                  1  Yes
                  2  No

              Data type: numeric
              Record/column: 1/132

      b41                Monthly expenditure of family compared to national average of 8,500 NIS

              VALUE  LABEL
                  1  More than average
                  2  Somewhat above
                  3  Average
                  4  Somewhat below
                  5  Much below

              Data type: numeric
              Record/column: 1/133

      b42                Number of rooms in apartment

              Data type: numeric
              Record/columns: 1/134-135

      b44                Number of persons in household

              Data type: numeric
              Record/columns: 1/136-137

      b46                Respondent's military service in territories

              VALUE  LABEL
                  1  Yes
                  2  Served but not in territories
                  3  Did not serve

              Data type: numeric
              Record/column: 1/138

****    Demographic details

      b47                Sex

              VALUE  LABEL
                  1  Male
                  2  Female

              Data type: numeric
              Record/column: 1/139

      b48                Code of locality

              Data type: numeric
              Record/columns: 1/140-142

      b51                Month of interview

              VALUE  LABEL
                  1  January
                  2  February

              Data type: numeric
              Record/column: 1/143

      b52                Date of interview

              Data type: numeric
              Record/columns: 1/144-146

      b55                Language of interview

              VALUE  LABEL
                  1  Hebrew
                  2  Russian
                  3  Arabic

              Data type: numeric
              Record/column: 1/147

      b56                Telephone area code

              Data type: numeric
              Record/column: 1/148

      b64                Possibilty of reaching an agreement with Palestinians even without concessions (computed)

              VALUE  LABEL
                  1  Can reach agreement
                  2  Cannot reach agreement
                  9  Other

              Data type: numeric
              Record/column: 1/149

      b65                Vote for PM between Peres and Sharon (computed)

              VALUE  LABEL
                  1  Peres
                  2  Sharon
                  3  No decision
                  4  No vote
                  5  Blank
                  6  Refuses

              Data type: numeric
              Record/column: 1/150

      b66                Sharon's character or actions make me feel angry (computed)

              VALUE  LABEL
                  1  Yes
                  2  No

              Data type: numeric
              Record/column: 1/151

      b67                Sharon makes me feel frightened (computed)

              VALUE  LABEL
                  1  Yes
                  2  No

              Data type: numeric
              Record/column: 1/152

      b68                Sharon makes me feel proud (computed)

              VALUE  LABEL
                  1  Yes
                  2  No

              Data type: numeric
              Record/column: 1/153

      b69                Sharon makes me feel hopeful (computed)

